,contract_count_10,contract_count_11,contract_count_14,contract_count_15,contract_count_20,contract_count_21,contract_count_24,contract_count_25,contract_count_30,contract_count_31,contract_face_10,contract_face_11,contract_face_14,contract_face_15,contract_face_20,contract_face_21,contract_face_24,contract_face_25,contract_face_30,contract_face_31,date,stock_snm_x,zanzon,bid,offer,rate,remaining_years_from,remaining_years_to,simple_yield_1days_from_ope,simple_yield_2days_from_ope,simple_yield_fluctuation_2to1,simple_yield_fluctuation_3to2,amount_sum,bid_price,balance,stock_snm_x,aggre_rate_buy,aggre_rate_sell,fluctuation_buy_rate,fluctuation_sell_rate
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-26,30Y-10,15.8301369863,2006,4580,-0.01,10,25,0.335,0.33,0.005,-0.005,3998,3998,2268,30Y-10,-0.105,0.01,up,stay
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,30Y-10,15.8493150685,2011,6069,0.001,10,25,0.35,0.355,-0.005,0.005,3998,3998,2268,30Y-10,-0.11,0.01,stay,stay
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-28,30Y-10,17.4465753425,2006,4222,0.01,10,25,0.305,0.305,0.0,0.005,3998,3998,539,30Y-10,-0.105,0.0096980921,stay,stay
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-23,30Y-10,17.4465753425,2002,6225,0.005,10,25,0.305,0.305,0.0,-0.005,3998,3998,539,30Y-10,-0.105,0.0096980921,stay,stay
5,1,0,0,0,2,0,0,0,0,0,19300000000,0,0,0,-2700000000,0,0,0,0,0,2017-06-14,30Y-10,15.7780821918,2009,4236,-0.005,10,25,0.33,0.325,0.005,-0.02,3998,3998,2268,30Y-10,-0.105,0.0096980921,stay,stay
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-09,30Y-10,15.7917808219,2009,4992,-0.017,10,25,0.315,0.32,-0.005,-0.005,3998,3998,2268,30Y-10,-0.105,0.0096980921,stay,down
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-07,30Y-10,15.797260274,2017,5475,-0.007,10,25,0.325,0.33,-0.005,-0.005,3998,3998,2268,30Y-10,-0.105,0.01,stay,stay
8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-31,30Y-10,15.8164383562,2019,7279,0.003,10,25,0.325,0.32,0.005,-0.015,3998,3998,2268,30Y-10,-0.105,0.01,stay,stay
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-26,30Y-11,16.0821917808,2006,4580,-0.01,10,25,0.335,0.33,0.005,-0.005,3993,3993,682,30Y-11,0.0,0.0095216074,stay,up
10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,30Y-11,16.101369863,2011,6069,0.001,10,25,0.35,0.355,-0.005,0.005,3993,3993,682,30Y-11,-0.11,0.0099471564,stay,down
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-12,30Y-11,16.1205479452,2013,3930,0.003,10,25,0.355,0.35,0.005,0.01,3993,3993,682,30Y-11,0.0,-0.08,stay,down
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,2017-06-28,30Y-11,15.9917808219,2006,4222,0.01,10,25,0.31,0.305,0.005,0.005,3993,3993,1447,30Y-11,-0.085,0.01,stay,stay
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-23,30Y-11,17.4849315068,2002,6225,0.005,10,25,0.305,0.305,0.0,-0.005,3993,3993,1447,30Y-11,-0.085,0.01,stay,stay
